year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2015,3446,954,2492,17426426,3846161,21272587,58,15,73
2022,3286724,1757372,1529352,2065562854,2416316295,4481879149,792529,244451,1036980
2016,40838,4431,36407,27438925,7932854,35371779,27221,1336,28557
2026,2923753,401335,2522418,4904174066,860277750,5764451816,202469,2098,204567
2019,739337,614798,124539,185998610,929291489,1115290099,74291,61116,135407
2024,5928185,2091908,3836277,5551749396,3124376664,8676126060,1825163,286564,2111727
2023,4570922,2102904,2468018,4464680078,4297434742,8762114820,1557311,373587,1930898
2021,3160844,1720033,1440811,1763666580,2198194454,3961861034,721631,274512,996143
2020,4108604,1585138,2523466,583299248,1669680916,2252980164,1934054,295493,2229547
2017,24581,5099,19482,26858959,9880120,36739079,12938,941,13879
2018,80167,52680,27487,88617964,290800822,379418786,21751,6229,27980
2025,7583238,2221841,5361397,9675730766,3454078609,13129809375,3046066,212369,3258435
