year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2022,4086391,2042490,2043901,3049702799,2638356021,5688058820,1169995,293947,1463942
2019,1495183,973135,522048,306982717,1752972219,2059954936,339359,255300,594659
2017,59514,30873,28641,51075352,128039362,179114714,23195,3819,27014
2018,586134,452690,133444,214138200,849397932,1063536132,80628,24732,105360
2021,3412131,1692702,1719429,2057981054,2044070721,4102051775,824962,289154,1114116
2025,7713043,1495961,6217082,12471122648,2539855050,15010977698,2849769,88532,2938301
2024,7283185,2214452,5068733,8616724457,3468124433,12084848890,2681980,275247,2957227
2016,28216,2333,25883,25597256,6692419,32289675,20632,377,21009
2015,33443,1457,31986,29176863,4819713,33996576,29136,306,29442
2023,5989335,2326397,3662938,5687963992,3381401293,9069365285,1770005,338504,2108509
2020,3604035,1787618,1816417,2037439087,1934636779,3972075866,861379,291901,1153280
