year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2020,3685022,1598873,2086149,2275291495,1624761423,3900052918,539883,254074,793957
2021,3540022,1595389,1944633,1885943331,2068131957,3954075288,875402,370218,1245620
2025,8114476,1990267,6124209,11428493777,3158044844,14586538621,3380077,160915,3540992
2023,6270761,2609050,3661711,5877846724,3551138201,9428984925,2099276,430365,2529641
2019,1927213,1419340,507873,442957941,1335476342,1778434283,209661,143530,353191
2016,32262,3352,28910,32646087,8192031,40838118,20895,619,21514
2024,6613580,2130563,4483017,6660193005,3243863776,9904056781,2275698,277612,2553310
2015,3204,900,2304,18761976,4828403,23590379,92,17,109
2022,3721516,1912517,1808999,2828351751,4699251309,7527603060,1254514,333847,1588361
2018,359876,291432,68444,276331987,530625999,806957986,30633,10049,40682
2017,46703,26190,20513,45811981,137324099,183136080,15563,3124,18687
