year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2015,2696,738,1958,14476398,3648725,18125123,60,26,86
2020,2204498,1009306,1195192,1402547688,889343666,2291891354,519128,196934,716062
2023,5239117,2252579,2986538,5035410930,3288490462,8323901392,1825486,401011,2226497
2016,42203,4899,37304,30590787,8027251,38618038,28300,1560,29860
2017,38217,12379,25838,63355102,34678847,98033949,15648,1765,17413
2019,850916,661081,189835,185411074,877207612,1062618686,97039,84601,181640
2025,8170295,2144765,6025530,11754985616,3409189264,15164174880,3442788,197769,3640557
2024,6244751,2057512,4187239,6255007503,2780670692,9035678195,2196839,304213,2501052
2022,3846597,1932445,1914152,2590149256,2625232635,5215381891,1046284,313930,1360214
2021,3615811,1634014,1981797,2091965012,1795008871,3886973883,788763,293111,1081874
2018,165575,129430,36145,88344493,294628039,382972532,28364,7933,36297
