year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2017,31694,8331,23363,31368897,24100225,55469122,14221,1420,15641
2019,915642,735211,180431,217263042,994192574,1211455616,96546,77294,173840
2020,3669374,1541712,2127662,1709689964,1799471035,3509160999,1158944,280993,1439937
2024,6814719,2435340,4379379,6427738196,3734782989,10162521185,2146720,324017,2470737
2018,122602,92906,29696,99074647,340424571,439499218,23082,6080,29162
2022,4085480,2148694,1936786,2603415539,3092289632,5695705171,939807,283765,1223572
2023,5500683,2466287,3034396,5283292773,4198324158,9481616931,1825126,415038,2240164
2025,8223860,2324895,5898965,11515278438,4564756172,16080034610,3321116,210846,3531962
2021,3672918,1951095,1721823,2013311201,2603893757,4617204958,752858,294266,1047124
2015,3411,875,2536,18328841,4396323,22725164,79,32,111
2016,38376,4680,33696,32753444,9471071,42224515,25316,1218,26534
