year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2016,20930,2864,18066,20329555,7680442,28009997,13480,563,14043
2020,3614533,1758918,1855615,2248846302,1944345770,4193192072,901649,323603,1225252
2021,3565077,1672115,1892962,2483751097,2175377815,4659128912,939049,303912,1242961
2022,4541477,2109223,2432254,4215075141,4255715230,8470790371,1598703,373440,1972143
2015,22833,2387,20446,14920500,2905286,17825786,18515,797,19312
2023,6212239,2173226,4039013,6607958525,3222783909,9830742434,2220695,365676,2586371
2024,8323430,2396778,5926652,10918552059,3875822672,14794374731,3384466,290361,3674827
2025,9194145,1538762,7655383,14557485559,2578965346,17136450905,2195694,65863,2261557
2018,582197,460657,121540,173213817,748046423,921260240,55582,23372,78954
2017,66181,36191,29990,60143148,134926911,195070059,23934,4172,28106
2019,2284123,1242128,1041995,503843244,1711343649,2215186893,829515,327403,1156918
