year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2019,1097169,818145,279024,270664533,1038948757,1309613290,127699,90977,218676
2021,2606146,1081692,1524454,1561671950,1351761029,2913432979,688091,240746,928837
2025,8389753,2153509,6236244,11956693747,3395970868,15352664615,3435132,179116,3614248
2016,40931,3101,37830,30165237,7512349,37677586,26869,558,27427
2024,6290681,2117120,4173561,6203324953,3089106577,9292431530,2011688,277241,2288929
2018,321733,251740,69993,121220119,418230188,539450307,44986,11864,56850
2023,5464828,2337966,3126862,5311515620,3601182239,8912697859,1968026,408223,2376249
2022,4010653,2032122,1978531,2918203436,2922889815,5841093251,1214438,337281,1551719
2017,46696,22069,24627,45705979,70323723,116029702,18397,2899,21296
2015,2908,817,2091,15587238,4205458,19792696,60,19,79
2020,2865037,1262273,1602764,1776779153,1056029730,2832808883,476738,222901,699639
