year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2024,6970681,2163301,4807380,7098189912,3180208795,10278398707,2415337,270547,2685884
2016,35680,2326,33354,28438666,8641857,37080523,25464,290,25754
2023,6254059,2517045,3737014,5715749551,3450669462,9166419013,1974644,387983,2362627
2022,3883047,1977075,1905972,3033230443,2697458744,5730689187,1131411,315946,1447357
2017,56549,30692,25857,54604322,150202344,204806666,19387,3933,23320
2025,8038818,1872105,6166713,11662247085,3035024208,14697271293,3479062,153882,3632944
2021,4256204,2066306,2189898,2006625576,2197347329,4203972905,888716,408318,1297034
2015,3852,1317,2535,22605743,9216125,31821868,31,20,51
2018,393279,275760,117519,356250655,513847808,870098463,45773,12364,58137
2020,3721280,1642142,2079138,2148989724,1723354091,3872343815,915767,256867,1172634
2019,2574881,1969104,605777,529982488,1366418603,1896401091,283643,209985,493628
