year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2017,58037,27804,30233,50618727,133809874,184428601,22870,3844,26714
2021,3896023,1882126,2013897,2014013826,2113330889,4127344715,883691,346886,1230577
2023,6047790,2431933,3615857,5526154509,3570215855,9096370364,1883297,381870,2265167
2018,433523,350290,83233,165849280,663158902,829008182,43056,13981,57037
2019,3059212,2156374,902838,590114198,1439540534,2029654732,278264,189469,467733
2015,2804,874,1930,12965312,5207023,18172335,47,21,68
2025,7820012,1757238,6062774,11993771567,2926547084,14920318651,3124802,126674,3251476
2020,3458954,1642175,1816779,2066752984,1758709681,3825462665,933385,283227,1216612
2016,38350,2749,35601,25468667,8257385,33726052,28353,300,28653
2024,6915537,2145209,4770328,7350754423,3523452945,10874207368,2401685,260127,2661812
2022,4087957,2067938,2020019,3256626433,2803515782,6060142215,1159712,317026,1476738
