year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2015,27496,3084,24412,21383615,4749730,26133345,21972,1093,23065
2024,7775198,2346801,5428397,10410066877,3679664654,14089731531,3093888,261409,3355297
2020,3256511,1684685,1571826,2041026858,2154189692,4195216550,760761,256378,1017139
2021,3887698,1829792,2057906,2730858287,2304726166,5035584453,619542,224969,844511
2017,84847,53435,31412,67650410,203075215,270725625,25897,5506,31403
2025,8737618,1374894,7362724,14869183469,2482838748,17352022217,1239896,40213,1280109
2016,29549,5782,23767,33344901,12743269,46088170,17730,1443,19173
2019,2950609,1189395,1761214,436446930,1534693488,1971140418,1505722,292035,1797757
2018,647807,541022,106785,167658541,980382568,1148041109,57139,27348,84487
2023,6214791,2252270,3962521,6357841773,3509309952,9867151725,1924526,338542,2263068
2022,4319190,2118278,2200912,3917394642,3247518626,7164913268,1276238,337320,1613558
